name,combined_description
Лидер развития канала ММБ,"Высшее образование. Опыт работы в финтехе — не менее 3 лет, из которых минимум 1 год на руководящей позиции. 

Осуществлять подбор и формирование кадрового резерва. Обеспечивать системное выполнение управленческих активностей. Развивать подчиненных в направлениях управленческих компетенций, продуктовой экспертизы и..."
Специалист по доставке банковских карт,"Карьерный старт в финансовой сфере для тех, кто без опыта.

Предложение от банка только для сотрудников. Доставлять клиентам банковские продукты. Подписывать документы с клиентами."
Менеджер по работе с клиентами малого бизнеса,"Чем будешь заниматься: Образование не ниже среднего специального. Готовность работать с клиентами по телефону. Знание стандартов обслуживания клиентов по телефону. 

Консультировать в телефонном режиме по продуктам и услугам Банка, информировать об актуальных изменениях. Помогать решать сложные ситуации, сложившиеся у клиента. "
Мобильный банкир (Без поиска и привлечения),"Карьерный старт в финансовой сфере для тех, кто без опыта.

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. Готовность к разъездной работе. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Консультировать клиентов по выгодным предложениям и продуктам банка, помогать им подключить дополнительные..."
Представитель банка (без поиска клиентов),"Образование не ниже среднего специального. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. Готовность к разъездной работе. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Консультировать клиентов по выгодным предложениям и продуктам банка, помогать им подключить дополнительные..."
Мобильный Банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
"Мобильный банкир, Апатиты","Образование не ниже среднего специального. Готовность к разъездной работе на транспорте. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной или пешей работе. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Специалист по поддержке клиентов в г. Саратов,"Общительные и вежливые люди, которые любят помогать другим. Образование не имеет значения — важно только желание развиваться вместе с банком. 

Принимать входящие звонки от клиентов банка, которые решили закрыть счет. Ваша задача - выяснить, почему клиент закрывает счет подобрать максимально выгодные..."
Мобильный банкир без поиска клиентов,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (доставка банковских продуктов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам (юридическим лицам) банковские продукты. Подписывать документы с клиентами. Доставлять торговые терминалы. Консультировать клиентов по выгодным предложениям и продуктам..."
