name,combined_description
Менеджер по работе с ключевыми клиентами малого бизнеса,"Высшее образование. Опыт работы в банке не менее полутора лет. Умение проводить переговоры на уровне первых лиц компании. 

Переводить корпоративных клиентов из статуса «потенциальных» в «действующих»: знакомиться с первыми лицами компаний, приходить к ним в офисы для переговоров..."
"Мобильный банкир, Дмитров","Образование не ниже среднего специального. Готовность к разъездной работе на транспорте. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Менеджер прямых продаж,"Имеете среднее специальное или высшее образование (финансы, экономика). Готовы к разъездному характеру работы по городу. Коммуникабельны и умеете устанавливать контакт...

Привлекать клиентов малого бизнеса на закреплённой территории (без предварительных звонков клиенту). Проводить деловые встречи с первыми лицами компаний. "
Middle/Senior Frontend developer (react/redux),"Отличное знание JavaScript, HTML/CSS. Опыт работы с любым современным JavaScript стеком React. Опыт работы в команде.

Искать эффективные IT-решения для целого спектра задач, начиная от продуктовых (создание новых модулей интернет-банков) и заканчивая R&D..."
Мобильный банкир,"Карьерный старт в финансовой сфере для тех, кто без опыта.

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (начинающий специалист),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (юридические лица),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Начальник управления среднего корпоративного бизнеса,"Опыт работы в банковской сфере от 3 лет. Опыт работы на руководящих должностях не менее 3 лет. Опыт работы в...

Управление системой привлечения новых клиентов и первичных продаж Среднего бизнеса и сопровождение действующих клиентов в Воронеже и Воронежской области. "
Ведущий премиум-менеджер,"Высшее образование. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. Опыт управления инвестиционными портфелями. Опыт продажи финансовых и...

Выстраивать и поддерживать долгосрочные отношения с текущими клиентами. Помогать клиентам управлять их портфелями и финансами: консультироваться по инвестиционным инструментам и..."
Премиум-менеджер,"Высшее образование. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. Опыт управления инвестиционными портфелями. Опыт продажи финансовых и...

Выстраивать и поддерживать долгосрочные отношения с текущими клиентами. Помогать клиентам управлять их портфелями и финансами: консультироваться по инвестиционным инструментам и..."
Старший менеджер по работе с клиентами среднего бизнеса,"Опыт привлечения клиентов малого и среднего бизнеса, продаж банковских продуктов. Умение проводить переговоры на уровне первых лиц компании. 

Активно привлекать клиентов средне - крупного корпоративного бизнеса (выручка от 500 млн. до 15 млрд.) на кредитные и расчетные продукты. "
Менеджер прямых продаж,"Получили высшее образование или близки к этому.

Привлекать клиентов малого бизнеса на закреплённой территории. Проводить деловые встречи с первыми лицам компаний. Звонить и назначать встречи потенциальным клиентам. "
Руководитель дирекции / Директор розничного бизнеса,"Опыт работы на позиции Директора по розничному бизнесу или руководителем сети отделений от 3 лет. - Опыт управления несколькими офисами продаж...

Управление и развитие Розничного бизнеса г. Волгоград и Волгоградской области. - Обеспечение коммерческой эффективности отделений, канала привлечения и сопровождения зарплатных клиентов. - "
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной или пешей работе. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (доставка карт),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
"Мобильный банкир, Норильск","Образование не ниже среднего специального. Готовность к разъездной или пешей работе. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной или пешей работе. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный Банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (2-3 встречи в день). Проводить презентации банковских продуктов для физических..."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (2-3 встречи в день). Проводить презентации банковских продуктов для физических..."
Начальник отдела прямых продаж малого бизнеса (Север Московской области),"Высшее образование. Развитые управленческие навыки. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы на руководящей позиции от 1...

Организовывать процесс продаж банковских продуктов и услуг малому бизнесу на основе потребностей Клиентов сегмент клиентов с годовой выручкой до 90..."
Начальник отдела развития отношений с клиентами малого бизнеса (м. Технопарк),"Высшее образование. Развитые управленческие навыки. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы на Руководящей позиции от 1...

Осуществлять организацию и управление командой менеджеров по развитию отношений с клиентами малого бизнеса. Выстраивать взаимодействие со структурными подразделениями Банка. "
Начальник отдела развития отношений с клиентами малого бизнеса (г. Красногорск),"Высшее образование. Развитые управленческие навыки. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы на Руководящей позиции от 1...

Осуществлять организацию и управление командой менеджеров по развитию отношений с клиентами малого бизнеса. Выстраивать взаимодействие со структурными подразделениями Банка. "
Начальник отдела по работе с партнерами ММБ,"Высшее образование. Опыт работы на руководящей должности в партнерском канале. Опыт прямых продаж корпоративным клиентам. Готовность к разъездному характеру работы...

Организовать эффективную работу подразделения Партнерского канала. Анализировать рынок и распределять зоны ответственности между сотрудниками отдела. Работать с командой: осуществлять постановку..."
Ведущий продуктовый аналитик (электронная коммерция),"Высшее образование. Опыт в e-commerce или финтехе. 3+ лет опыта в роли продуктового или data-аналитика. 

Анализировать поведение пользователей, продуктовые фичи и ключевые метрики. Проектировать метрики и принимать решения на их основе. Строить аналитические витрины, дашборды..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Представитель банка (доставка карт),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Специалист по доставке банковских продуктов,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Карьерный старт в финансовой сфере для тех, кто без опыта.

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Digital-менеджер,"Опыт работы от 2 лет в digital‑маркетинге/ SMM от 2 лет / PR-агентстве. Высшее образование. Знание форматов рекламных размещений...

Ведение и координация запусков рекламных размещений/запусков совместно с внутренними командами (маркетинг, PR, редакция) в социальных сетях (Telegram, VK и..."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Главный менеджер по развитию каналов продаж (Автокредитование),"Высшее образование. Опыт в развитии партнерских продаж не менее 1 года. Знание принципов и правил работы с дилерской сетью. 

Разрабатывать и проводить мероприятия по привлечению партнеров и устанавливать партнерские отношения, аккредитовывать партнеров. Заключать и сопровождать договоры с партнерами. "
Альфа-Агент,"Готовность к выездным встречам с клиентами. - Желание общаться с людьми, развивать навыки переговоров и зарабатывать. - Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). - Проводить презентации банковских продуктов для..."
Мобильный банкир (доставка карт),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Главный менеджер продаж,"Среднее специальное образование или высшее. Желателен, но не обязателен опыт работы в продажах. Коммуникабельность. Готовность к разъездному характеру работы.

Поиск и привлечение новых клиентов малого бизнеса на закрепленной территории через ХОЛОДНЫЕ звонки, Холодный вход. Работа носит смешанный характер: 80..."
Специалист по выездному взысканию,"Готовность к разъездному характеру работы. Образование не ниже средне-специального. Желателен опыт работы в коллекторских агентствах, у судебных приставов, опыт...

Взыскание просроченной задолженности. Уточнение, анализ, систематизация и проверка информации о клиенте. Проведение выездных мероприятий (визиты по месту проживания, работы, регистрации..."
Главный специалист по оценке залога,"Высшее (экономическое)образование. Опыт работы в оценочной компании или залоговым специалистом в банке от двух лет. Знание общего законодательства, а...

Разработка и реализация залоговой политики Банка в области кредитования клиентов Блоков Малого и микробизнеса. Управление и сопровождение действующих залоговых процессов. "
Руководитель цифрового продукта (сервис самоидентификации),"Опыт в роли Product Owner или менеджера продукта от 3х лет. Опыт управления банковскими / fin-tech продуктами (KYC). 

Разрабатывать и согласовывать новые клиентские пути / процессы. Анализировать и улучшать метрики: конверсия, скорость оформления, продажи, удовлетворенность. Собирать требования от заказчиков..."
Клиентский менеджер,"Образование высшее (специальность - экономика/финансы). Опыт работы в обслуживании юридических лиц в банковской сфере от 2-х лет. 

Работа в отделении банка и на территории предприятий. Установление долгосрочных отношений с клиентами отделения. Консультация клиентов по вопросам, связанным с..."
Премиум-менеджер,"Среднее специальное или высшее образование. Опыт продаж финансовых, инвестиционных и страховых продуктов. Опыт ведения переговоров. Коммуникабельность.

Привлекать новых клиентов на премиальное обслуживание, включая холодные звонки. Выстраивать долгосрочные отношения с премиальными клиентами. Продавать инвестиционные и страховые продукты."
Менеджер отделения банка,"Опыт работы с клиентами в розничной или финансовой сферах. Среднее специальное или высшее образование. Коммуникабельность. Желание развиваться в продажах.

Работать со счетами и картами клиентов. Консультация клиентов на входящем потоке (физ лиц). Продавать кредитные, страховые, накопительные и инвестиционные продукты. "
Менеджер по сохранению клиентов (юридических лиц),"Образование не ниже среднего специального. Умение грамотно и доброжелательно вести диалог, слышать потребность клиента и находить подход к каждому. 

Осуществлять исходящие звонки ключевым клиентам – юридическим лицам с целью поддержания и сохранения доверительных, долгосрочных отношений с клиентами. Консультировать в телефонном..."
Менеджер адаптации и сопровождения клиентов (юридических лиц),"Образование не ниже среднего специального. Умение грамотно и доброжелательно вести диалог, слышать потребность клиента и находить подход к каждому. 

Осуществлять исходящие звонки ключевым клиентам – юридическим лицам с целью поддержания и сохранения доверительных, долгосрочных отношений с клиентами. Консультировать в телефонном..."
Ведущий менеджер,"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах - будет преимуществом. Опыт работы в продажах. 

Консультировать клиентов на входящем потоке по всем банковским продуктам (розничного бизнеса). Обслуживать клиентов на входящем потоке (физ лиц): работать со..."
Инвестиционный консультант,"Знание принципов формирования инвестиционного профиля клиента (риск-профилирование). Знание нормативно-правовой базы банковской, финансовой, инвестиционной и деятельности по инвестиционному консультированию. 

Консультировать клиентов по финансовым рынкам и инвестиционным продуктам в соответствии с этикой финансового консультирования. Подбирать инвестиционные решения и формировать инвестиционные..."
Инвестиционный консультант,"Знание принципов формирования инвестиционного профиля клиента (риск-профилирование). Знание нормативно-правовой базы банковской, финансовой, инвестиционной и деятельности по инвестиционному консультированию. 

Консультировать клиентов по финансовым рынкам и инвестиционным продуктам в соответствии с этикой финансового консультирования. Подбирать инвестиционные решения и формировать инвестиционные..."
Старший эксперт по решениям для клиентов малого бизнеса,"Получили высшее образование или близки к этому. Вас будут окружать заряженные люди, которые создают банкинг будущего и во всём помогут.

Переводим клиентов из статуса «потенциальных» в «действующих»: звоним потенциальным клиентам с годовой выручкой от 20 до 500 миллионов рублей, знакомимся..."
Бизнес-советник (развитие корпоративных клиентов),"Высшее образование. Опыт работы в банке не менее полутора лет. Умение проводить переговоры на уровне первых лиц компании. 

Переводить корпоративных клиентов из статуса «потенциальных» в «действующих»: знакомиться с первыми лицами компаний, приходить к ним в офисы для переговоров..."
Начинающий специалист в отделение банка,"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сфере от 1 года будет преимуществом. Коммуникабельность. 

Консультировать физических лиц по банковским продуктам и услугам. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентского опыта. "
Ведущий бизнес-советник,"Умение проводить переговоры на уровне первых лиц компании. Успешный опыт в развитии бизнеса, сопровождении или привлечении клиентов. Знание специфики банковских...

Развивать отношения с действующими корпоративными клиентами малого бизнеса. Осуществлять вторичные продажи всей линейки банковских продуктов. Повышать качество сервиса и услуг..."
Руководитель направления по продажам платежных решений,"Успешный опыт комплексной работы с клиентами малого бизнеса. Успешный опыт наставничества, управления командой. Навыки выявления потребностей и владение знаниями в...

Осуществлять привлечение новых клиентов из действующего бизнеса (с годовой выручкой от 0 до 500 млн) через продажи продуктов электронной коммерции. "
Менеджер по развитию отношений с корпоративными клиентами,"Высшее образование. Знание техники продаж и банковских продуктов. Знание рынка корпоративных клиентов. Умение проводить переговоры с первыми лицами компаний и...

Сопровождать и развивать закрепленный портфель зарплатных компаний. Контролировать выдачу зарплатных карт. Развивать долгосрочные отношения с клиентами: проводить переговоры c первыми..."
Главный премиум-менеджер,"Опыт работы с премиальными клиентами от 1 года. Опыт продаж финансовых, инвестиционных и страховых продуктов. Будет дополнительным преимуществом опыт работы...

Искать и привлекать новых клиентов на премиальное обслуживание. Выстраивать долгосрочные отношения с премиальными клиентами. Продавать инвестиционные и страховые продукты. "
Старший эксперт по контролю защищенности (Vulnerability management),"Опыт работы от 3‑х лет. — Опыт работы с автоматизированными средствами анализа защищённости (Nessus, Qualys, Max Patrol 8, RedCheck или...

Осуществлять контроль и оценку защищённости инфраструктуры компании. — Искать уязвимости на внешнем и внутреннем контуре компании автоматизированными и ручными средствами. — "
Руководитель универсального микроофиса легкой сети,"Высшее экономическое образование. Опыт работы активных продажах, в том числе на управленческой должности не менее 2 лет. Знание операционно-кассовой...

Обеспечивать выполнение плановых показателей по продажам, контролировать выполнение. Работать с персоналом (подбор, адаптация, мотивация, развитие, карьерное планирование). Осуществлять взаимодействие с..."
Руководитель клиентской команды среднего корпоративного бизнеса,"Высшее экономическое образование. Опыт работы с клиентами банка от 2 лет. Опыт продаж, презентаций и проведения переговоров на уровне первых...

Заниматься поиском и привлечением клиентов среднего и крупного бизнеса с выручкой от 500 млн до 15 млрд рублей на обслуживание..."
